,authors,sentiment_review_score,sentiment_summary_score,sentiment_average_score,sentiment_rescaled,overall_score,combined_score
0,Jon Evans,0.5982570648193359,0.24777844548225403,0.4230177700519562,3.8460354804992676,4.26580810546875,4.055922031402588
1,Agatha Christie,0.3932027220726013,0.18492478132247925,0.2890637516975403,3.57812762260437,4.333455562591553,3.955791473388672
2,James Patterson,0.4173963665962219,0.1706651747226715,0.2940307557582855,3.588061571121216,3.959031343460083,3.7735464572906494
3,Stella Riley,0.17570000886917114,0.08888000249862671,0.13229000568389893,3.264580011367798,4.599999904632568,3.9322898387908936
4,Philip K. Dick,0.41159066557884216,0.12829415500164032,0.26994240283966064,3.5398848056793213,4.169997692108154,3.8549413681030273
5,Oscar Wilde,0.642098605632782,0.23106800019741058,0.4365832805633545,3.873166561126709,4.535990238189697,4.204578399658203
6,"Stan Berenstain, Jan Berenstain",0.6998307108879089,0.3437258005142212,0.5217782258987427,4.0435566902160645,4.642905235290527,4.343230724334717
0,Stephen Hunt,0.7201961874961853,0.40167877078056335,0.5609375238418579,4.121874809265137,4.295201778411865,4.20853853225708
1,Laurie R. King,0.6596032977104187,0.21412770450115204,0.43686550855636597,3.8737311363220215,4.049230098724365,3.9614803791046143
2,Ray Bradbury,0.5269572734832764,0.16807977855205536,0.3475185036659241,3.6950371265411377,4.448713302612305,4.071875095367432
3,Cathy Glass,0.44918185472488403,0.14267754554748535,0.2959297001361847,3.5918593406677246,4.564292907714844,4.078076362609863
4,Arthur C. Clarke,0.6823478937149048,0.21673350036144257,0.4495407044887543,3.8990814685821533,4.200838088989258,4.049959659576416
5,Cecelia Ahern,0.6682308316230774,0.24156531691551208,0.45489808917045593,3.9097962379455566,3.863410472869873,3.886603355407715
6,Zondervan,0.7434921860694885,0.3443842828273773,0.5439382791519165,4.087876319885254,4.552855014801025,4.320365905761719
0,Kimberley Chambers,0.6303200125694275,0.32888999581336975,0.4796050190925598,3.95920991897583,4.900000095367432,4.429605007171631
1,Veronica Roth,0.49327176809310913,0.21128302812576294,0.35227739810943604,3.704554796218872,3.902036666870117,3.803295612335205
2,Dean Koontz,0.4525415003299713,0.16392013430595398,0.30823081731796265,3.6164615154266357,4.032470703125,3.8244659900665283
3,Jacqui Rose,0.47807997465133667,0.08830000460147858,0.2831900119781494,3.566380023956299,3.5999999046325684,3.5831899642944336
4,Anonymous,0.5201458930969238,0.19497188925743103,0.35755887627601624,3.7151176929473877,4.292908191680908,4.0040130615234375
5,Casey Watson,0.4396551549434662,0.18871815502643585,0.3141866624355316,3.628373384475708,4.5336809158325195,4.081027030944824
6,Sophie Hart,0.8543879985809326,0.45513200759887695,0.6547600030899048,4.3095197677612305,4.039999961853027,4.174759864807129
0,Primula Bond,0.5551288723945618,0.11881992965936661,0.3369744122028351,3.6739487648010254,3.3006813526153564,3.4873151779174805
1,Len Deighton,0.27503570914268494,0.1946517378091812,0.23484373092651367,3.4696874618530273,4.5320305824279785,4.000858783721924
2,James Finn Garner,0.650188148021698,0.23279905319213867,0.44149360060691833,3.8829872608184814,4.291840553283691,4.087413787841797
3,Charlotte Stein,0.688479483127594,0.22241246700286865,0.4554459750652313,3.9108920097351074,4.15901517868042,4.034953594207764
4,F. Scott Fitzgerald,0.6786742806434631,0.24771325290203094,0.46319377422332764,3.9263875484466553,4.036564826965332,3.981476306915283
