asin,sentiment_review_score,sentiment_summary_score,sentiment_average_score,sentiment_rescaled,overall_score,combined_score
B000FDJ0FS,0.31293225064982305,0.13399933172379766,0.2234657911868104,3.4469315823736206,2.557626150197363,3.002278866285492
B000JQUSBQ,0.532039240555936,0.3163119377764869,0.4241755891662114,3.8483511783324227,3.98649580097328,3.9174234896528515
B001C8VA26,0.28616249999999993,0.1810125,0.23358750000000003,3.4671750000000006,3.625,3.5460875
B001H55R8M,0.5397174173352518,0.33578417918526515,0.4377507982602586,3.8755015965205164,3.3506099482574307,3.6130557723889742
B001HN5MO8,0.8090532258064516,0.3911516129032258,0.6001024193548387,4.200204838709677,4.580645161290323,4.390425
B001UFP5PO,0.9136099999999999,0.34591,0.6297600000000001,4.25952,4.3,4.27976
B001VH6NWU,0.84698,0.33564,0.59131,4.18262,5.0,4.59131
B0023RTBB2,0.97345,0.6950166666666666,0.8342333333333333,4.668466666666666,4.833333333333333,4.750900000000001
B002AJ8YXO,0.839425,0.294825,0.5671249999999999,4.134250000000001,4.833333333333333,4.483791666666666
B002BSH5YI,0.38636,0.22513714285714287,0.3057485714285714,3.611497142857142,4.0285714285714285,3.8200342857142857
B002DML10G,0.65956,0.31414153846153847,0.4868507692307692,3.973701538461539,3.830769230769231,3.9022353846153846
B002EZZJSM,0.7293974828043924,0.3336226692409799,0.5315100760226861,4.0630201520453735,4.253312417038735,4.158166284542054
B002J4TUX8,0.5947857142857144,0.2774928571428571,0.4361392857142857,3.8722785714285712,4.785714285714286,4.328996428571428
B002MAQAPU,0.721822201791328,0.48270071178598967,0.6022614567886589,4.204522913577318,3.531110979298891,3.867816946438104
B002NOGESS,0.5949176470588234,0.3397058823529412,0.4673117647058823,3.934623529411765,4.647058823529411,4.290841176470588
B002RKSZJO,0.605171424944462,0.19669400190415742,0.4009327134243097,3.801865426848619,4.371310695017454,4.086588060933037
B002SB8RNQ,-0.06178571428571422,0.21444285714285716,0.07632857142857143,3.152657142857143,3.7142857142857144,3.433471428571429
B002SB9ZPA,0.92964,0.14794000000000002,0.53879,4.077579999999999,5.0,4.5387900000000005
B002UUT3VK,0.9488352941176471,0.21309108159392787,0.5809631878557875,4.161926375711575,4.464895635673624,4.313411005692599
B002WEPCDC,0.82094,0.42404000000000003,0.6224900000000001,4.24498,4.4,4.32249
B002ZG8EFU,0.8500773584905661,0.17001886792452833,0.5100481132075473,4.020096226415095,3.6415094339622645,3.8308028301886794
B002ZNJVNW,-0.28388629032258067,0.04413306451612903,-0.11987661290322583,2.760246774193549,2.782258064516129,2.771252419354839
B0031ESOBO,0.8062066666666667,0.41638000000000003,0.6112933333333334,4.2225866666666665,4.666666666666667,4.444626666666666
B00328I27U,0.9480599999999999,0.40922000000000003,0.67864,4.35728,4.2,4.27864
B0033UV8HI,0.6665183098591548,0.27344366197183095,0.4699809859154929,3.9399619718309853,4.140845070422536,4.04040352112676
B00347AI9Y,0.32401201501519017,0.23364500345655467,0.27882850923587243,3.5576570184717453,4.194893461073157,3.8762752397724505
B0035LC5O0,-0.15131290322580646,-0.06651451612903225,-0.10891370967741934,2.782172580645161,3.580645161290322,3.1814088709677413
B0035WU1H2,0.41176666666666667,0.4040333333333334,0.4079,3.8158,4.333333333333333,4.074566666666667
B0036ZAHDG,0.8818281028933928,0.32873727944879955,0.6052826911710961,4.210565382342192,3.990706620807018,4.100636001574605
B0037KM1F2,0.9110662650602409,0.30677469879518066,0.6089204819277108,4.217840963855421,4.662650602409638,4.44024578313253
B003AKY3QE,0.11374127257093719,0.06486761607910577,0.08930444432502146,3.178608888650043,4.572441960447118,3.8755254245485804
B003B66AQI,0.4913109589041096,0.21181643835616437,0.351563698630137,3.7031273972602734,4.191780821917808,3.9474541095890405
B003C1R5CA,0.33643229901269395,0.11841096614950633,0.22742163258110012,3.4548432651621996,4.2035731076633756,3.8292081864127874
B003CT32HE,0.9131769230769231,0.38423846153846153,0.6487076923076922,4.297415384615385,4.769230769230769,4.533323076923077
B003CT32UQ,0.9472200000000001,-0.006800000000000006,0.47020999999999996,3.9404200000000005,5.0,4.47021
B003DA4FFK,0.8999864738076623,0.5150565024758925,0.7075214881417775,4.415042976283554,4.169663799843628,4.292353388063591
B003DA4G8Q,0.42105372238887384,0.35778865557676576,0.38942118898281997,3.77884237796564,4.462776111262612,4.120809244614127
B003DZ1EU4,0.6007454545454546,0.07307272727272728,0.33690909090909094,3.673818181818181,4.363636363636363,4.018727272727273
B003FMV5ZE,0.8975454545454543,0.41500909090909094,0.6562772727272727,4.312554545454546,4.909090909090909,4.610822727272728
B003J35KXW,0.6385932203389829,0.38594915254237283,0.5122711864406779,4.024542372881356,4.23728813559322,4.130915254237288
B003LBSJT4,0.6146787234042554,0.3535212765957447,0.4841,3.968200000000001,4.297872340425533,4.133036170212765
B003MAK5CI,0.7965103448275863,0.3175551724137931,0.5570327586206898,4.11406551724138,4.586206896551724,4.3501362068965514
B003MVZLWG,0.009312499999999987,-0.2384625,-0.114575,2.77085,4.5,3.6354249999999997
B003P2VH98,0.8416126213592233,0.4353912621359224,0.6385019417475727,4.277003883495145,4.66626213592233,4.471633009708737
B003PDN7T0,0.9459999999999998,0.4151833333333333,0.6805916666666668,4.361183333333334,4.166666666666667,4.263925
B003SX158W,0.69594625,0.23309625,0.46452125,3.9290425000000004,4.0625,3.9957712499999998
B003T0H5VK,0.8712285714285714,0.21182857142857145,0.5415285714285714,4.083057142857142,3.857142857142857,3.9701
B003TU1YGC,0.59624,0.27542,0.43583,3.87166,4.8,4.33583
B003U89RYY,0.8508928571428573,0.7707999999999999,0.8108464285714287,4.621692857142858,4.285714285714286,4.453703571428572
B003U89SIE,0.9708797752808987,0.5503168539325842,0.7605983146067415,4.521196629213483,4.52808988764045,4.524643258426967
B003UBTWDM,0.32558685955379035,0.24379164116806212,0.2846892503609263,3.5693785007218546,4.071051019486767,3.82021476010431
B003UHU3FW,0.8757206896551725,0.3126362068965518,0.5941784482758622,4.188356896551725,4.456896551724138,4.3226267241379315
